hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
GBA1,6.45174546551141,6.17924220393029,6.2587601144549,6.25483133088822,6.3851520749665,6.37835152612847,6.4113138951314,6.44362140924693,5.91657088379802,5.68546076874392,5.57949311189052,5.66485351848186,5.65926301129979,5.64481730276934,5.78416833655804,5.89578173777303,5.82104525486491,5.6604054829492,5.41465396360473,5.53426041775666,5.55832410904322,5.51570781956055,5.48610957457937,5.53634435082388,5.52396608727289,5.46300228232411
ACAD9,6.5436386806399,6.64507639012784,6.54958129389034,6.60579552369189,6.71708480996234,6.52402040006205,6.66734245506232,6.55985743525976,6.64247810077409,6.40990009312852,6.53815632712271,6.42011246957088,6.36302275914201,6.549566812003,6.56774843276753,6.50267151885779,6.49960667460585,6.17731436450665,6.10701152102039,6.0037062007661,6.23147409367952,6.01761958055038,6.02492662650334,6.15816111346515,6.14987162219898,6.26625983927051
IL17RA,5.48095948682382,5.43047470944881,5.41220835678031,5.54550115983737,5.57942520747785,5.17518526702483,5.45178168743156,4.97907225966797,5.46877941868696,5.22356030241734,5.35760674040704,5.08037623698937,5.37446708446188,5.16934346566459,5.44826078298862,5.09774143901457,6.06005053740948,5.23186113272695,4.8805626523766,5.37592664668526,5.10954611132117,4.86461467555609,5.31623219848264,5.38108201793643,4.93838197035478,4.99874672386035
PNPLA2,7.84043883403411,7.8457075235651,7.92964002341053,7.80058506429732,7.93290291211301,7.8048731657715,7.78443205144588,7.77501173913477,7.79597781788522,7.89055247665599,7.86468893379091,7.76083445518474,7.69299774838478,7.82933905479818,7.86449086780623,7.90431012603376,7.89877506308994,8.00865773796189,7.91999468833352,7.82864264251006,7.92656532810408,7.9368858648431,7.95230955984857,7.88863043189493,7.7602795297721,7.92474313532484
AGTRAP,5.1123617603754,5.13034777235767,4.94177079053909,5.02128474143505,5.20702386515926,5.03148281793622,5.03354796367951,5.09809098577641,5.11878772335632,5.16609633839494,5.2174644855456,5.21663983964555,5.18438324160126,5.21925446593349,5.20530198400612,5.35893778373219,5.332098531693,5.13380676161741,5.14568039347005,5.05927347591641,4.95220855569722,5.23516462888462,5.03943771959646,4.96526892973435,5.06612539742592,4.99317520317912
CD163L1,1.71041009152324,2.16644338154491,2.16246760858432,1.51712148733203,1.03729839171915,2.37958075561196,2.39730639079757,0.919744537441467,2.16709332525727,1.53097652827517,1.27371854011955,1.07861866483678,2.23060728376542,1.61765467909661,2.13102250010333,2.04200694901994,2.538438498096,1.83055276686026,2.58903729692957,1.48288577324289,1.81130561723747,1.36461567268223,1.53172241024685,0.712464649889652,0.964852820435921,2.389387818793
SRRM3,4.88628532470152,4.65219468865933,4.81283104190186,4.71536244751427,4.76558468270536,4.64538597425877,4.91685944980933,4.67981226710043,4.72805260915737,4.89733945338126,4.85423069905652,4.97998852063202,5.10272875389849,4.72777630839372,4.99068581356974,4.92534764211012,5.0751897305811,4.86781225985276,4.92170972318098,4.96030552363313,4.82978468279566,5.09450467578935,4.96392898369117,4.9128742136045,4.8293027262599,4.88286157637738
THAP5,4.85140990702047,4.66464675487284,4.97189003316688,4.89436855481989,4.65489008492481,4.98004431156368,4.47148633664699,4.60172128480846,4.89939693887763,4.68530398934666,4.72408753712571,4.82720221888767,4.69754978708094,4.70788834585719,4.72256306256638,4.63102256022724,4.74183880351278,4.86589225100069,4.62255040454471,4.92948110281796,5.0287211872522,4.84864307169133,4.53576544873228,4.81253313793488,5.13740480703911,4.96397517483394
CRACR2B,3.55265527345231,3.48257528301115,3.36192975484828,3.64551530345252,4.04351345867716,3.52348405670129,4.25132790897931,4.35328092878654,4.12540407127792,3.15581323252032,3.23278611460276,3.07300341287914,2.57330210942274,2.43451097778006,3.37819179108462,3.30334349652756,3.42375710604594,0.648620942728004,-1.0732853806422,-0.315300577510023,0.41324493495021,-0.313585821524542,0.716476681308993,-0.367073978761905,0.833497955305921,0.151550855639614
CD151,8.48887158950741,8.45161491172428,8.50399002841494,8.37775225283877,8.48220929974994,8.45508926993949,8.46252150148393,8.42106767138021,8.33971407108479,8.49638776388135,8.52653961145017,8.4297763173292,8.39709932112793,8.47127269735032,8.46047847834805,8.5897373699533,8.51717886238243,8.7679269842368,8.93143742436614,8.86979701128096,8.82177278928299,8.94970837613395,8.86879827153745,8.69613991942222,8.80662881348194,8.68565968104097
POLR2L,6.01042116297736,6.192689189662,6.12861236718092,6.0552613062311,6.16515263211027,6.03299085059159,5.9224909480174,5.96039132626933,5.93516861515532,5.98031549537483,6.01303980018633,5.8953003541751,5.6398976029758,6.065657670437,6.00470845630819,6.40722591781175,6.31151561351494,6.09938081847189,6.17967732503095,6.06321577354857,6.12169514531225,6.31551160651263,6.11613164399905,5.9937752499515,5.82252960049314,6.07741463899485
NECTIN3,5.62740840212593,5.7181959291628,5.56078783213676,5.69045718657339,5.84467831953087,5.78853198451749,5.80592703384016,5.80308918173996,5.70937635057899,5.62359880712632,5.40166261326943,5.62202955442595,5.63330457188988,5.57803281302158,5.31066695434286,5.54652886548942,5.35038008532417,5.46060514840991,5.36346904850425,5.45897443954894,5.49473048711787,5.21154267362685,5.40874951285462,5.43340008529868,5.45511850562638,5.37087002576601
TMEM94,6.875276876563,6.90802722953773,7.1170846297621,6.97231005014173,6.98588201761944,6.76700235089696,7.04255671974478,7.05161071783332,7.09780819570414,7.1408704152755,7.04447401054801,7.0152940990271,7.17383291190703,7.07634474749304,7.17432548534377,7.13564251072167,7.10042075295145,6.88363576140158,6.93316376374193,6.75053856603228,7.04037057464906,6.68697503675165,6.86365395034858,6.83000344111166,6.79297325555752,6.80790638465935
FLII,7.37045902507114,7.33007957585167,7.40358627020808,7.33178449284543,7.22214745383455,7.29983829575546,7.48231668099856,7.43512579664483,7.36533572065996,7.4701920882282,7.46317312459798,7.4671812852761,7.49842383888241,7.46114534873608,7.56131474074619,7.66694651586057,7.54055900865431,7.15237394687967,7.13962488766641,7.24126278820775,7.26639619130936,7.29311910283886,7.3091883648204,7.10655534515779,7.23039655543809,7.2619590188355
SOX12,6.59393891763466,6.44432087686054,6.59480264651984,6.52220785485737,6.60068838758619,6.37509264858864,6.54598785658979,6.58701443429119,6.90389345069796,6.97790405328168,6.82402561092249,6.87849249072471,6.86393562806727,6.86748202562014,6.83729584054882,6.93824655330153,7.00567497585745,6.60152360876749,6.65303886245122,6.62013699564538,6.67758792391694,6.72382853603775,6.79190549097606,6.52906080732735,6.65393384230728,6.49541132641462
HNRNPA0,8.99855143758195,8.97512441513463,8.92542366753625,8.92062065365795,8.9569070164206,8.90718819175602,9.00729151113447,9.00892980487183,8.792704529048,8.83576287521143,8.75668952259442,8.74527542846357,8.82771435298675,8.82538273691728,8.74395719141775,8.87440102351429,8.8925931744362,8.76533046290657,8.7261319003489,8.6490719358935,8.69837438652508,8.80277923934433,8.75300499083639,8.72035626096691,8.69468698454495,8.68190860982272
CHID1,6.49784261225615,6.41444381008426,6.51791832652181,6.3207058125548,6.37920993544157,6.33049064120793,6.37415683083309,6.49210665923176,6.58014708614931,6.63642117089201,6.43209083720062,6.52443488971857,6.60947489893263,6.63239098591178,6.48085731389245,6.67137623883391,6.62743344241547,6.48390556558023,6.57612584146485,6.53072606597408,6.52395960136174,6.78523301380309,6.5777495477005,6.4848319823997,6.57576212515198,6.34249233057061
ZNF620,2.03553797118947,1.91315621324114,1.98645888977171,2.39438451929411,1.5475009453726,2.2557297288662,1.44158829044386,1.99947841913269,1.84128496808706,1.04633550034951,1.28894432820892,1.18568825161042,1.505708202911,1.2000061918182,0.987272533582497,1.37671586808914,1.64859221424956,1.34566594125116,1.25017805814985,1.84415319838534,1.56607175138507,1.59863810522381,1.40440575183021,2.42080766425514,1.49400623946577,0.712294397808289
ZNF518A,4.82253311090821,5.0528214206337,4.98647237397888,5.27583913431582,5.24233114070463,5.46430562161971,5.54296196375568,4.99224495555242,5.17221192510689,4.71409876394969,4.99965549737887,5.11930640625229,5.03092278459974,4.71494057524763,4.8485947704996,4.72731580016201,4.51541460680843,4.52368314780183,4.57568371930105,4.74998002456303,4.28523653213129,4.58512839465539,4.49245568057909,4.85045774312438,4.94176466832395,4.64528803373265
TMEM187,2.54430752383299,2.23685312754109,1.79445933126743,1.97518833894685,2.58843347101466,1.87827369474456,1.87626744950157,2.04635935952194,2.11981835225114,2.89779712574554,2.39163365084294,2.3084909680922,2.48531336767945,2.59941001675396,2.06202205470179,2.25301941017752,2.72639894123563,3.05516956199011,3.05518941746056,3.06685756283442,3.09273132695957,3.07323812443588,3.14505298632111,2.87868815695087,3.01061836095529,2.83150861416074
SVBP,2.39034830534572,2.78822167136845,2.5591357010493,2.58266484485047,2.65684080477935,2.89833626084975,2.67764760942898,2.42197982860847,2.93909333976081,3.10662460210138,3.07821087429236,2.84537283039065,2.81418003046496,2.8446910267915,3.0034205665963,2.84279209676503,2.81205365843943,3.48011685794306,3.49094860472055,3.64634110078792,3.24495312028269,3.43101759132958,3.33514895891792,3.49051404302828,3.0828103884275,3.10628250717163
ZNF619,3.25217096235875,3.25882692996516,3.67061360695706,3.1007661469464,3.47529560623058,3.19859776310973,2.84037894916556,3.73587864625169,3.47749396573665,3.17600784315571,3.04278052766084,3.14557369235365,3.23990954328043,3.26316700184883,3.46926805445949,3.16805684459033,3.27383942831023,3.06626080159185,3.34106769834495,3.05226662326059,3.2343924274884,2.88028266131434,3.26549280560776,3.20921068371243,3.74623134624171,2.61458886412096
AP3S1,6.26533217285064,6.45309168781462,6.24599323002228,6.36346365590651,6.15202648648954,6.50423212895649,6.13803019975009,6.14414432749352,6.34189349485454,6.44081578182312,6.48994656031166,6.51244800976712,6.54536134723936,6.51145398263237,6.23724674165697,6.21796164411494,6.23063598231869,6.91844599594397,6.91368193701299,7.07037990712176,6.9175061705202,6.88408549226454,6.84811670884368,7.01303955082625,6.97439902835752,6.97680539524646
GRB2,6.78669381835479,6.78115732098164,7.10506971511207,6.79006701928325,6.80708493637648,6.76555325787334,7.00450140339756,6.79764545518041,6.661082693881,6.75596129643248,6.80833543503829,6.76578295836231,6.70972288584044,6.88235591715125,6.79213457822848,6.82840994319534,7.20249936412106,6.81063589775272,6.88207103937285,6.95681598316895,6.81099384686598,7.1456249870859,6.99996379655383,6.74256730832124,6.77589998548337,6.87893547690163
ZBTB41,3.67094995912854,3.75062410754094,3.63924305670709,3.52967318549464,3.80963501356167,3.76171359272565,3.35081879787857,3.44874497017485,3.85036448432575,3.90217925055784,3.91248312096912,4.06858618285689,4.01831699106979,3.57885837357958,3.99369884903314,3.66898872162289,3.7810634418156,4.06459775384623,4.15323764091103,4.44661445442106,4.23062789177631,4.36602959566638,4.2170778399237,4.52070308106021,4.42404994230255,4.40849296638806
UBE2N,7.06702476824098,7.2936394481214,7.19104586146021,7.20484663296249,7.19836610665107,7.32291689685796,7.12792796958324,7.24073669126,7.11067313398578,7.20176202023111,7.26400267461974,7.03237786711397,7.20204295439572,7.15273391261008,6.98669353298274,7.01034463560089,7.09032299767014,7.42308878889744,7.47842481558825,7.5827210399376,7.45850133206173,7.50823164828506,7.34194910502643,7.40982788865887,7.44159952161642,7.5221712818917
ARL6IP6,5.12001857959897,5.40769995330278,5.07853794809091,5.3361487613924,5.26113500523144,5.25864550837954,5.30155232691143,5.22956516288769,5.43097739855387,5.29450482155671,5.4945627090365,5.39470688400115,5.64510788518436,5.30290224635442,5.45159172911211,5.40101882938609,5.4609865166465,5.09111046608781,4.7823071771484,4.99852000219145,4.80454339529202,4.75651714015357,4.94088070352999,4.66125244064966,5.11984699589305,5.0936335912273
ZNF354C,4.09805992864717,4.30217969103433,4.24718359294906,4.44381584780782,4.34312813316607,4.59130866525344,4.38706071348827,4.38227553680713,4.2047826549755,4.18714098146353,4.23206524603268,4.36733114954743,4.09245006317027,4.07161056632468,4.07446513290368,4.22254451970741,4.13871437772255,4.03662007188343,3.66322071366774,4.00894323382667,3.99392373702974,3.5271050780695,4.12224675152146,3.86931541332952,3.91598099281311,4.11864140980755
MAMDC4,5.15629399053365,5.05391222757288,5.08883460262301,5.27126794125612,5.0431441976409,5.2444905739771,5.94717655898271,5.76263302522466,5.37204826086387,5.023490366824,5.55686899653185,5.19209419986939,5.13634557577108,5.11428853547155,5.41382767459817,5.88241872144184,5.54332647996008,2.9087909900861,2.13102549425783,1.9725660568714,2.84353144282439,2.74666049460835,2.37417649600308,2.52309446933404,2.72933439445374,2.65653697072646
