hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
57,VPS50,3.71085364505111,3.39455620301885,4.12057386720654,4.23607860096244,4.15828483920101,3.91433957057574,3.43599098268067,3.42693775516598,4.2143994543816,4.19058432709483,4.03735407597603,4.38007305225778,4.04416123387073,3.51920039364815,4.21830341844275,3.45766240143207,3.331313713203,3.8816422692353,3.42951170052479,3.61104924902718,3.92738838359517,3.80954138902303,3.63181655308031,3.88531923469758,3.84478111031539,4.01935480220864
58,HSPB6,1.64213594354765,1.58397430349726,1.43936870914443,1.97723246336688,1.06528428165661,1.46401543559466,1.69542570748507,1.61694532634589,1.06792164075283,0.846820014950613,1.35684505553179,0.771871200235715,0.829191152901266,1.58064270327503,0.602381052138899,1.45828717531945,0.852736137064076,0.780251281318775,0.695631109227269,0.357481936518774,0.134987113324026,0.779486680619376,1.26608288057452,0.566162642013783,0.880809435006756,1.04723772582372
59,ARHGAP33,4.67111446317891,4.99885168014633,4.97336364689825,5.06263041707324,5.10764315964703,4.589150668346,5.38778081194721,4.98137140161118,4.80589021328103,5.24571909997388,4.89779540233467,4.7929005810616,4.67464677521608,4.42469991664997,5.51375598314719,5.09939019467799,5.17342122318578,3.36536644743093,3.75228920904709,3.54094661883898,3.1741799350337,3.45056380434442,3.49147436681193,3.24274479401987,3.59337549517117,3.47924668531734
60,NDUFAB1,5.56175514598558,5.78117223698595,5.6816562677453,5.7760424121378,5.7366552783369,5.92004099090652,5.73809800483916,5.70438529591645,5.6196359334548,5.61277210016776,5.68927395470547,5.58384758618851,5.87342569770058,5.7496012471584,5.58679921423017,5.88609402166027,5.71212426831286,5.84912934748958,5.89676626338388,5.90483914532927,5.94966638679628,6.07671972665961,5.85405213963767,5.93052126551115,5.83078968488497,5.80860593517281
63,ZMYND10,1.95314621406585,1.37298361238462,1.93488332826929,1.46358060403554,1.85752536453788,2.11727736014852,1.92491208186639,1.704284681044,1.82193382044963,0.850131548184367,1.75937925368281,0.758908806526484,-0.544878878732926,0.397175579839951,1.36178456781376,1.08444266366449,1.29705000484787,-0.230768024496343,1.19674499032558,-0.755294261609403,-0.695281111138261,-0.994969090708495,0.207553848038602,-1.94551087399195,-1.25194273268276,-0.30239776070992
66,SLC25A13,5.85690565350129,6.02161247992808,5.88800845457868,5.90719165542157,5.84134201508949,5.70718601514852,6.10139956593348,5.74946349626512,5.77216329976324,5.93198525640755,5.86926025368538,6.09575140910432,5.91899250514451,5.94454767450588,5.96448505529885,5.91043794903112,5.7021271484308,4.84788163850029,5.39764549160076,5.24343723445677,5.44065050126988,5.10678888787717,5.1059119177351,5.42819698733231,5.39111821364963,5.36022003896433
67,ST7,4.54822975658816,4.51999834008961,4.58433204402817,4.45418749822701,4.53892159603347,4.61816383920061,4.42421209144701,4.40081891625632,4.44601753176704,4.75485097792727,4.42274790507131,4.82300497912531,4.44118152958495,4.51040348431139,4.57441258429158,4.69355830572427,4.48393213194878,4.62427293282333,4.33645414493521,4.51109252933559,4.29949910469572,4.37619220978194,4.15467522082631,4.44131671640803,4.3982067475439,4.22505772128775
68,CDC27,6.76138906799651,6.60118045560114,6.76420005322478,6.66127467493466,6.83405795629453,6.79471525954888,6.71035798396607,6.98026441659424,6.85869421675286,6.93211224976656,6.96113063961937,6.76332564022441,6.85421721982081,6.98694751766496,6.76432574030361,6.86337090392504,6.70569674829985,6.31503327459596,6.6126247286091,6.71442561849124,6.60996957364282,6.38429375161077,6.47083074745021,6.25748279111497,6.2332823604519,6.40668876150898
71,HCCS,5.28921465436541,5.34662833870897,5.50423524927796,5.31717885947236,5.42824986965799,5.53500298299077,5.33768418850309,5.27227156466923,5.48765506686569,5.56994266625447,5.34543422597504,5.2099163697092,5.43850511841385,5.3687784221199,5.31419976987575,5.42937838646759,5.22340949419726,5.62513636032416,5.68194964519431,5.73165824547331,5.72498287554638,5.82161578276165,5.63887320999816,5.95190824010154,5.74122296961475,5.69492002932807
72,DVL2,6.94672508947741,6.73051135980655,6.86897339123708,6.76230747346137,6.77550005233714,6.68870415124934,6.9185669982636,6.90388482538781,7.04592257227113,7.0908004797805,7.02931966164681,7.08122333113513,7.17396772886602,7.22558927675644,7.21998673652468,7.22470135734095,7.12555943560032,6.93486621328078,6.94730487247854,6.87398936283222,7.05492993198834,6.99991891389829,6.88861642215173,6.90575473887432,7.01352534843771,6.92560698490566
