# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","35","JAK1","7.983267307281494","6.6042872185472525","pTRIP Luciferase 1","FALSE"
"1","A1","36","JAK1","8.385420799255371","7.009243173167842","pTRIP Luciferase 1","FALSE"
"1","A1","37","JAK1","8.766845703125","7.393470539684184","pTRIP Luciferase 1","FALSE"
"1","A1","38","JAK1","9.070113182067871","7.699540481273768","pTRIP Luciferase 1","FALSE"
"1","A1","39","JAK1","9.251359939575195","7.8835897014278045","pTRIP Luciferase 1","FALSE"
"1","A1","40","JAK1","9.393057823181152","8.028090047680475","pTRIP Luciferase 1","FALSE"
"2","A2","1","B-ACTIN","2.8022541999816895","-0.007791961942400124","pTRIP JAK1 N11S 1","FALSE"
"2","A2","2","B-ACTIN","2.804015636444092","-0.008630616324288694","pTRIP JAK1 N11S 1","FALSE"
"2","A2","3","B-ACTIN","2.81125545501709","-0.003990888595581118","pTRIP JAK1 N11S 1","FALSE"
"2","A2","4","B-ACTIN","2.8194148540496826","0.0015684195927211852","pTRIP JAK1 N11S 1","FALSE"
"2","A2","5","B-ACTIN","2.8222334384918213","0.0017869131905693869","pTRIP JAK1 N11S 1","FALSE"
"2","A2","6","B-ACTIN","2.8232316970825195","1.8508093697671476E-4","pTRIP JAK1 N11S 1","FALSE"
"2","A2","7","B-ACTIN","2.8295376300811768","0.003890923091343471","pTRIP JAK1 N11S 1","FALSE"
"2","A2","8","B-ACTIN","2.8288652896881104","6.184918539865946E-4","pTRIP JAK1 N11S 1","FALSE"
"2","A2","9","B-ACTIN","2.8267879486083984","-0.004058940070016234","pTRIP JAK1 N11S 1","FALSE"
"2","A2","10","B-ACTIN","2.8331170082092285","-3.299713134766258E-4","pTRIP JAK1 N11S 1","FALSE"
"2","A2","11","B-ACTIN","2.8465888500213623","0.010541779654366694","pTRIP JAK1 N11S 1","FALSE"
"2","A2","12","B-ACTIN","2.858299493789673","0.01965233257838677","pTRIP JAK1 N11S 1","FALSE"
"2","A2","13","B-ACTIN","2.8824398517608643","0.04119259970528726","pTRIP JAK1 N11S 1","FALSE"
"2","A2","14","B-ACTIN","2.9174230098724365","0.07357566697256905","pTRIP JAK1 N11S 1","FALSE"
"2","A2","15","B-ACTIN","2.9751477241516113","0.1287002904074534","pTRIP JAK1 N11S 1","FALSE"
"2","A2","16","B-ACTIN","3.066701650619507","0.217654126031058","pTRIP JAK1 N11S 1","FALSE"
"2","A2","17","B-ACTIN","3.187893867492676","0.33624625205993647","pTRIP JAK1 N11S 1","FALSE"
"2","A2","18","B-ACTIN","3.3142504692077637","0.4600027629307339","pTRIP JAK1 N11S 1","FALSE"
"2","A2","19","B-ACTIN","3.4369924068450928","0.5801446097237725","pTRIP JAK1 N11S 1","FALSE"
"2","A2","20","B-ACTIN","3.5610997676849365","0.7016518797193253","pTRIP JAK1 N11S 1","FALSE"
"2","A2","21","B-ACTIN","3.67702579498291","0.8149778161730085","pTRIP JAK1 N11S 1","FALSE"
"2","A2","22","B-ACTIN","3.7844293117523193","0.9197812420981272","pTRIP JAK1 N11S 1","FALSE"
"2","A2","23","B-ACTIN","3.8784892559051514","1.0112410954066684","pTRIP JAK1 N11S 1","FALSE"
"2","A2","24","B-ACTIN","3.97161865234375","1.1017704010009766","pTRIP JAK1 N11S 1","FALSE"
"2","A2","25","B-ACTIN","4.05293083190918","1.1804824897221158","pTRIP JAK1 N11S 1","FALSE"
"2","A2","26","B-ACTIN","4.123929023742676","1.2488805907113214","pTRIP JAK1 N11S 1","FALSE"
"2","A2","27","B-ACTIN","4.179446697235107","1.3017981733594621","pTRIP JAK1 N11S 1","FALSE"
"2","A2","28","B-ACTIN","4.252784252166748","1.3725356374468123","pTRIP JAK1 N11S 1","FALSE"
"2","A2","29","B-ACTIN","4.310574531555176","1.4277258259909495","pTRIP JAK1 N11S 1","FALSE"
"2","A2","30","B-ACTIN","4.365034103393555","1.4795853069850375","pTRIP JAK1 N11S 1","FALSE"
"2","A2","31","B-ACTIN","4.41961145401001","1.5315625667572021","pTRIP JAK1 N11S 1","FALSE"
"2","A2","32","B-ACTIN","4.447011470794678","1.5563624926975796","pTRIP JAK1 N11S 1","FALSE"
"2","A2","33","B-ACTIN","4.488361358642578","1.5951122897011896","pTRIP JAK1 N11S 1","FALSE"
"2","A2","34","B-ACTIN","4.523488521575928","1.6276393617902483","pTRIP JAK1 N11S 1","FALSE"
"2","A2","35","B-ACTIN","4.557707786560059","1.6592585359300887","pTRIP JAK1 N11S 1","FALSE"
"2","A2","36","B-ACTIN","4.57835578918457","1.67730644771031","pTRIP JAK1 N11S 1","FALSE"
"2","A2","37","B-ACTIN","4.609239101409912","1.7055896690913608","pTRIP JAK1 N11S 1","FALSE"
"2","A2","38","B-ACTIN","4.6357102394104","1.7294607162475586","pTRIP JAK1 N11S 1","FALSE"
"2","A2","39","B-ACTIN","4.652361869812012","1.7435122558048795","pTRIP JAK1 N11S 1","FALSE"
"2","A2","40","B-ACTIN","4.671390533447266","1.7599408285958429","pTRIP JAK1 N11S 1","FALSE"
"2","A2","1","JAK1","1.4397302865982056","0.0013619973545981878","pTRIP JAK1 N11S 1","FALSE"
"2","A2","2","JAK1","1.4389806985855103","0.0026339249951499166","pTRIP JAK1 N11S 1","FALSE"
"2","A2","3","JAK1","1.4375118017196655","0.0031865437825520093","pTRIP JAK1 N11S 1","FALSE"
"2","A2","4","JAK1","1.432505488395691","2.0174611182444124E-4","pTRIP JAK1 N11S 1","FALSE"
"2","A2","5","JAK1","1.4276293516159058","-0.0026528750147138958","pTRIP JAK1 N11S 1","FALSE"
"2","A2","6","JAK1","1.4268561601638794","-0.0014045508134932216","pTRIP JAK1 N11S 1","FALSE"
