# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"5","A5","2","2","33","566113.9","756438.5","320747.6"
"5","A5","2","2","34","568851.2","827241.0","320687.53"
"5","A5","2","2","35","571600.1","939564.9","320605.5"
"5","A5","2","2","36","572832.94","1088336.4","320918.1"
"5","A5","2","2","37","573216.56","1255573.2","321332.6"
"5","A5","2","2","38","573546.44","1421948.8","321125.9"
"5","A5","2","2","39","575766.8","1575171.2","321018.97"
"5","A5","2","2","40","575028.2","1697861.0","321524.22"
"6","A6","2","2","1","181751.94","523486.5","245431.42"
"6","A6","2","2","2","181893.9","523816.34","245490.08"
"6","A6","2","2","3","183665.75","528379.8","246575.39"
"6","A6","2","2","4","185713.97","534902.9","249126.56"
"6","A6","2","2","5","189091.44","542920.1","252627.97"
"6","A6","2","2","6","192658.47","551799.4","257007.94"
"6","A6","2","2","7","196620.8","561729.1","261696.2"
"6","A6","2","2","8","200760.61","572843.75","266594.62"
"6","A6","2","2","9","205110.97","583990.94","272027.1"
"6","A6","2","2","10","209555.73","593552.5","277341.25"
"6","A6","2","2","11","213744.84","604530.56","281873.44"
"6","A6","2","2","12","217826.8","614416.94","286462.03"
"6","A6","2","2","13","222599.56","622814.3","291287.4"
"6","A6","2","2","14","227352.1","631326.4","295429.16"
"6","A6","2","2","15","233089.47","638445.7","299231.78"
"6","A6","2","2","16","240567.47","642183.4","302089.12"
"6","A6","2","2","17","251287.47","645358.9","303955.44"
"6","A6","2","2","18","267307.2","647665.44","305282.78"
"6","A6","2","2","19","291071.62","648145.2","306304.47"
"6","A6","2","2","20","321436.8","647760.7","307401.78"
"6","A6","2","2","21","356689.12","646299.9","308034.03"
"6","A6","2","2","22","393766.1","645206.9","308311.62"
"6","A6","2","2","23","428670.03","645307.25","308268.28"
"6","A6","2","2","24","458955.53","644853.6","308779.2"
"6","A6","2","2","25","485023.9","645797.1","309264.47"
"6","A6","2","2","26","506534.7","645608.94","309928.5"
"6","A6","2","2","27","522086.72","647015.7","310811.44"
"6","A6","2","2","28","532474.56","649741.8","311209.03"
"6","A6","2","2","29","539942.0","653032.3","311356.03"
"6","A6","2","2","30","544548.3","657960.5","311872.72"
"6","A6","2","2","31","548671.7","666255.25","312046.97"
"6","A6","2","2","32","552388.7","680978.94","312290.88"
"6","A6","2","2","33","555402.9","710729.44","312336.56"
"6","A6","2","2","34","559202.7","763488.5","312804.44"
"6","A6","2","2","35","562598.4","853408.6","313599.3"
"6","A6","2","2","36","563399.75","985156.56","314257.38"
"6","A6","2","2","37","563905.5","1143971.2","314721.72"
"6","A6","2","2","38","565466.5","1306926.4","315057.56"
"6","A6","2","2","39","568117.3","1460516.0","314491.9"
"6","A6","2","2","40","567547.4","1581819.4","314203.78"
"7","A7","2","2","1","189448.69","566187.9","293629.56"
"7","A7","2","2","2","190432.47","568030.56","294658.8"
"7","A7","2","2","3","191644.67","569874.75","295487.06"
