# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"3","A3","2","2","34","740185.7","4144731.5","476097.3"
"3","A3","2","2","35","747578.56","4175113.0","476125.6"
"3","A3","2","2","36","754637.75","4198406.0","475874.4"
"3","A3","2","2","37","760543.44","4220616.0","475580.66"
"3","A3","2","2","38","764303.25","4237012.5","475413.28"
"3","A3","2","2","39","769669.06","4251010.0","475883.4"
"3","A3","2","2","40","773953.06","4266122.5","476803.78"
"4","A4","2","2","1","443978.97","1597084.8","691338.8"
"4","A4","2","2","2","444513.34","1598388.8","691571.56"
"4","A4","2","2","3","445263.72","1599423.2","690600.06"
"4","A4","2","2","4","445286.12","1601781.8","689931.4"
"4","A4","2","2","5","445524.94","1603227.2","689407.06"
"4","A4","2","2","6","446715.66","1604472.1","688469.2"
"4","A4","2","2","7","447981.12","1605865.5","688099.75"
"4","A4","2","2","8","448624.2","1609167.0","687982.1"
"4","A4","2","2","9","449598.7","1609535.0","687907.9"
"4","A4","2","2","10","451302.0","1609497.0","687416.06"
"4","A4","2","2","11","453345.97","1610930.4","687097.9"
"4","A4","2","2","12","455464.72","1612068.5","686793.0"
"4","A4","2","2","13","458583.8","1615299.0","686104.06"
"4","A4","2","2","14","463355.28","1617758.2","685840.3"
"4","A4","2","2","15","472546.1","1619450.6","685610.25"
"4","A4","2","2","16","487794.66","1621643.2","685686.9"
"4","A4","2","2","17","513644.16","1620573.5","686323.6"
"4","A4","2","2","18","552286.9","1619722.2","687004.44"
"4","A4","2","2","19","610434.3","1619328.4","688214.94"
"4","A4","2","2","20","681131.75","1619423.5","690417.7"
"4","A4","2","2","21","759190.56","1620923.2","691448.06"
"4","A4","2","2","22","837242.75","1618794.2","694404.7"
"4","A4","2","2","23","912483.44","1617595.0","695930.5"
"4","A4","2","2","24","980565.3","1617873.6","697198.8"
"4","A4","2","2","25","1035761.9","1620976.0","699412.75"
"4","A4","2","2","26","1082438.0","1622453.4","700883.3"
"4","A4","2","2","27","1117370.6","1625838.6","702633.75"
"4","A4","2","2","28","1145245.2","1631085.6","702778.75"
"4","A4","2","2","29","1162113.5","1639612.9","703145.7"
"4","A4","2","2","30","1174727.6","1652932.0","703719.4"
"4","A4","2","2","31","1184260.9","1688259.4","703382.2"
"4","A4","2","2","32","1191017.4","1747313.9","702952.56"
"4","A4","2","2","33","1193594.1","1859563.9","702920.7"
"4","A4","2","2","34","1198011.4","2049065.5","702740.4"
"4","A4","2","2","35","1200381.8","2334349.8","702329.5"
"4","A4","2","2","36","1199418.0","2692722.5","701850.94"
"4","A4","2","2","37","1200021.5","3071397.2","700735.7"
"4","A4","2","2","38","1200817.0","3434596.0","700285.6"
"4","A4","2","2","39","1200443.4","3778573.8","700610.06"
"4","A4","2","2","40","1200962.9","4050532.2","700396.56"
"5","A5","2","2","1","336104.12","1191864.4","514684.22"
"5","A5","2","2","2","338473.62","1200618.9","517280.03"
"5","A5","2","2","3","343607.28","1223580.0","523689.53"
"5","A5","2","2","4","348837.75","1246077.6","530481.1"
"5","A5","2","2","5","353426.62","1265219.4","536360.1"
"5","A5","2","2","6","357074.8","1280531.5","538932.75"
"5","A5","2","2","7","359440.7","1293143.4","539088.56"
"5","A5","2","2","8","361110.72","1300046.1","538605.56"
"5","A5","2","2","9","361746.6","1301982.5","538108.3"
"5","A5","2","2","10","363630.78","1304529.1","538002.25"
"5","A5","2","2","11","365918.97","1307506.5","537807.0"
"5","A5","2","2","12","369375.8","1310288.1","538817.4"
"5","A5","2","2","13","375034.7","1312991.4","540263.0"
"5","A5","2","2","14","384936.1","1314338.5","541252.06"
"5","A5","2","2","15","402310.66","1316545.9","541021.6"
"5","A5","2","2","16","430940.88","1317126.2","541081.0"
"5","A5","2","2","17","472959.75","1318252.5","541791.9"
"5","A5","2","2","18","527527.25","1319877.4","543444.1"
"5","A5","2","2","19","590470.4","1321033.9","544401.0"
"5","A5","2","2","20","656372.1","1322992.8","545318.3"
"5","A5","2","2","21","718827.7","1323432.6","547338.5"
