Well,Well Position,Sample Name,Target Name,Task,Reporter,Quencher,Amp Status,CT,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
58,C10,C1 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.80786406,24.77387411,0.981534089,0.048069053,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
59,C11,C1 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.73988416,24.77387411,0.980325771,0.048069053,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
60,C12,,,,,,,,,,,,,,,,,,,,
61,C13,,,,,,,,,,,,,,,,,,,,
62,C14,,,,,,,,,,,,,,,,,,,,
63,C15,,,,,,,,,,,,,,,,,,,,
64,C16,,,,,,,,,,,,,,,,,,,,
65,C17,,,,,,,,,,,,,,,,,,,,
66,C18,,,,,,,,,,,,,,,,,,,,
67,C19,,,,,,,,,,,,,,,,,,,,
68,C20,,,,,,,,,,,,,,,,,,,,
69,C21,,,,,,,,,,,,,,,,,,,,
70,C22,,,,,,,,,,,,,,,,,,,,
71,C23,,,,,,,,,,,,,,,,,,,,
72,C24,,,,,,,,,,,,,,,,,,,,
73,D1,,,,,,,,,,,,,,,,,,,,
74,D2,,,,,,,,,,,,,,,,,,,,
75,D3,,,,,,,,,,,,,,,,,,,,
76,D4,,,,,,,,,,,,,,,,,,,,
77,D5,,,,,,,,,,,,,,,,,,,,
78,D6,,,,,,,,,,,,,,,,,,,,
79,D7,,,,,,,,,,,,,,,,,,,,
80,D8,,,,,,,,,,,,,,,,,,,,
81,D9,,,,,,,,,,,,,,,,,,,,
82,D10,,,,,,,,,,,,,,,,,,,,
83,D11,,,,,,,,,,,,,,,,,,,,
84,D12,,,,,,,,,,,,,,,,,,,,
85,D13,,,,,,,,,,,,,,,,,,,,
86,D14,,,,,,,,,,,,,,,,,,,,
87,D15,,,,,,,,,,,,,,,,,,,,
88,D16,,,,,,,,,,,,,,,,,,,,
89,D17,,,,,,,,,,,,,,,,,,,,
90,D18,,,,,,,,,,,,,,,,,,,,
91,D19,,,,,,,,,,,,,,,,,,,,
92,D20,,,,,,,,,,,,,,,,,,,,
93,D21,,,,,,,,,,,,,,,,,,,,
94,D22,,,,,,,,,,,,,,,,,,,,
95,D23,,,,,,,,,,,,,,,,,,,,
96,D24,,,,,,,,,,,,,,,,,,,,
97,E1,ISG15,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,16.86003041,16.77323978,0.978705967,0.122740492,TRUE,0.493090908,TRUE,3,10,,,,,FALSE
98,E2,ISG15,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,16.68644914,16.77323978,0.979307753,0.122740492,TRUE,0.493090908,TRUE,3,9,,,,,FALSE
99,E3,,,,,,,,,,,,,,,,,,,,
100,E4,ISG15 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,16.72426223,16.82290563,0.981148245,0.139502833,TRUE,0.493090908,TRUE,3,9,,,,,FALSE
101,E5,ISG15 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,16.92154903,16.82290563,0.986514956,0.139502833,TRUE,0.493090908,TRUE,3,10,,,,,FALSE
102,E6,,,,,,,,,,,,,,,,,,,,
103,E7,ISG15 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,22.92094804,23.05832246,0.989069148,0.194276766,TRUE,0.493090908,TRUE,3,15,,,,,FALSE
104,E8,ISG15 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,23.19569688,23.05832246,0.972884221,0.194276766,TRUE,0.493090908,TRUE,3,16,,,,,FALSE
105,E9,,,,,,,,,,,,,,,,,,,,
106,E10,ISG15 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,22.03553593,22.06244698,0.981317041,0.03805798,TRUE,0.493090908,TRUE,3,14,,,,,FALSE
107,E11,ISG15 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,22.08935804,22.06244698,0.980824905,0.03805798,TRUE,0.493090908,TRUE,3,15,,,,,FALSE
108,E12,,,,,,,,,,,,,,,,,,,,
109,E13,,,,,,,,,,,,,,,,,,,,
110,E14,,,,,,,,,,,,,,,,,,,,
111,E15,,,,,,,,,,,,,,,,,,,,
112,E16,,,,,,,,,,,,,,,,,,,,
113,E17,,,,,,,,,,,,,,,,,,,,
114,E18,,,,,,,,,,,,,,,,,,,,
115,E19,,,,,,,,,,,,,,,,,,,,
116,E20,,,,,,,,,,,,,,,,,,,,
117,E21,,,,,,,,,,,,,,,,,,,,
118,E22,,,,,,,,,,,,,,,,,,,,
119,E23,,,,,,,,,,,,,,,,,,,,
120,E24,,,,,,,,,,,,,,,,,,,,
121,F1,ISG15,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,16.52712805,16.6475699,0.986252222,0.170330502,TRUE,0.361380385,TRUE,3,10,,,,,FALSE
122,F2,ISG15,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,16.76801175,16.6475699,0.973489321,0.170330502,TRUE,0.361380385,TRUE,3,11,,,,,FALSE
123,F3,,,,,,,,,,,,,,,,,,,,
124,F4,ISG15 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,16.68717607,16.72035367,0.985381699,0.046920217,TRUE,0.361380385,TRUE,3,10,,,,,FALSE
125,F5,ISG15 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,16.75353127,16.72035367,0.98086469,0.046920217,TRUE,0.361380385,TRUE,3,10,,,,,FALSE
126,F6,,,,,,,,,,,,,,,,,,,,
127,F7,ISG15 DDC,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,22.67573123,22.53187095,0.981507788,0.203449164,TRUE,0.361380385,TRUE,3,16,,,,,FALSE
128,F8,ISG15 DDC,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,22.38801067,22.53187095,0.984473762,0.203449164,TRUE,0.361380385,TRUE,3,16,,,,,FALSE
129,F9,,,,,,,,,,,,,,,,,,,,
