# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 I578V 2","B-ACTIN","12.547034420187487","","12.547034420187487","0.4647902781029458","0.1341733960897284","-0.21919875819524393","1.1640868980737706","0.8409233205884995","1.6114409876499571","FALSE"
"pTRIP JAK1 I578V 2","IFI27","30.908538865120967","","30.908538865120967","0.1302310048038426","0.07518890568033397","-0.023961491744525887","1.0167475340177343","0.487887844592103","2.118879491239279","FALSE"
"pTRIP JAK1 I578V 2","JAK1","20.480975339340482","","20.480975339340482","0.03960209337836374","0.022864279272471002","2.5928566716825863","0.16575718680121082","0.1325866492816938","0.20722633179964542","FALSE"
"pTRIP JAK1 I578V 2","MX1","28.353820157245526","","28.353820157245526","0.011632334668766542","0.006715931552316179","0.06771538273839184","0.954147767829332","0.8935767414677569","1.0188245962605407","FALSE"
"pTRIP JAK1 I578V 2","RSAD2","35.229504215966664","","35.229504215966664","0.6874271898204681","0.3968862730911153","0.8416410867618964","0.5580084650739809","0.011570615721558677","26.910706792730227","FALSE"
"pTRIP JAK1 I578V 3","B-ACTIN","12.878522772094103","","12.878522772094103","0.681857717784825","0.1968353684560463","0.11228959371137215","0.9251187093353636","0.5741314801417129","1.4906770591138474","FALSE"
"pTRIP JAK1 I578V 3","IFI27","31.305913295002085","","31.305913295002085","0.2148770033960988","0.12405929575339777","0.3734129381365925","0.7719541474207569","0.2298412706717795","2.592716286236906","FALSE"
"pTRIP JAK1 I578V 3","JAK1","20.577989895475536","","20.577989895475536","0.06273930461505342","0.036222554408271025","2.6898712278176404","0.1549772948500676","0.10880279255478356","0.22074766056166661","FALSE"
"pTRIP JAK1 I578V 3","MX1","28.640145267050304","","28.640145267050304","0.02267395957095083","0.013090816661883154","0.35404049254317016","0.7823898218646442","0.6884970474488765","0.889087085595444","FALSE"
"pTRIP JAK1 I578V 3","RSAD2","35.02836310751528","","35.02836310751528","0.7387630096894926","0.4265250225115667","0.6404999783105154","0.6414905961996998","0.009958670135195387","41.32180094592244","FALSE"
"pTRIP JAK1 N11S 1","B-ACTIN","12.72024861188746","","12.72024861188746","0.6654389165877957","0.1920956688106084","-0.04598456649527094","1.0323874912625282","0.6481052960427425","1.644522793785419","FALSE"
"pTRIP JAK1 N11S 1","IFI27","31.800639942794646","","31.800639942794646","0.14472657274058523","0.08355792573066884","0.8681395859291534","0.5478528739253484","0.24225676327875745","1.2389448591901582","FALSE"
"pTRIP JAK1 N11S 1","JAK1","17.117635869370407","","17.117635869370407","0.0612124782794713","0.03534104081241688","-0.7704827982874889","1.7058405480303043","1.2079503887403864","2.4089499059134996","FALSE"
"pTRIP JAK1 N11S 1","MX1","28.86469227558662","","28.86469227558662","0.022957194075895516","0.013254342179556759","0.5785875010794861","0.6696190602520695","0.5883193714209951","0.7621535302668145","FALSE"
"pTRIP JAK1 N11S 1","RSAD2","33.51045204553956","","33.51045204553956","1.099034949894376","0.6345281241703248","-0.8774110836652085","1.8370757091092076","0.0037406750081680692","902.2027183943655","FALSE"
