# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","TAMRA","FAM","ROX"
"4","A4","2","2","6","1229556.6","708635.94","608781.1","432167.88"
"4","A4","2","2","7","1227445.8","704030.6","606464.44","429644.34"
"4","A4","2","2","8","1227199.6","702145.2","605015.1","427249.3"
"4","A4","2","2","9","1227507.9","700650.6","604285.94","426871.5"
"4","A4","2","2","10","1229657.8","698360.3","604854.9","427342.34"
"4","A4","2","2","11","1234649.9","696956.5","608617.56","427391.66"
"4","A4","2","2","12","1243097.1","695723.6","615067.06","427343.22"
"4","A4","2","2","13","1261337.4","693944.75","626815.25","427701.62"
"4","A4","2","2","14","1292600.9","691518.2","650795.94","429710.34"
"4","A4","2","2","15","1337523.0","687940.8","697016.1","431536.66"
"4","A4","2","2","16","1392385.6","685161.44","782646.1","432856.1"
"4","A4","2","2","17","1455960.0","680765.06","926066.8","434782.1"
"4","A4","2","2","18","1518368.5","675610.2","1138828.9","436195.8"
"4","A4","2","2","19","1581742.4","670545.3","1420018.6","439838.1"
"4","A4","2","2","20","1640264.6","666129.56","1746975.2","441247.03"
"4","A4","2","2","21","1692584.0","662413.56","2087741.5","443184.8"
"4","A4","2","2","22","1740500.1","657484.9","2426070.8","443568.94"
"4","A4","2","2","23","1785720.0","652701.56","2743176.5","443626.28"
"4","A4","2","2","24","1827838.6","650220.25","3028514.8","445078.47"
"4","A4","2","2","25","1863951.0","646276.25","3279763.8","445071.6"
"4","A4","2","2","26","1900066.4","643803.9","3500743.2","445245.56"
"4","A4","2","2","27","1929293.4","640739.4","3685240.8","446950.56"
"4","A4","2","2","28","1956351.9","635662.9","3836281.5","447380.06"
"4","A4","2","2","29","1985040.5","632505.06","3955738.2","448571.03"
"4","A4","2","2","30","2008819.5","630495.56","4051537.8","448905.2"
"4","A4","2","2","31","2028466.0","629479.0","4126476.0","449359.06"
"4","A4","2","2","32","2049659.0","627938.1","4188192.0","449283.88"
"4","A4","2","2","33","2064232.2","624543.0","4232247.0","449141.3"
"4","A4","2","2","34","2078653.1","623406.7","4269144.0","450179.97"
"4","A4","2","2","35","2092361.8","622379.9","4295265.5","450596.1"
