# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 S703I 3","MX1","3","-","0","27.116240429392736","0.060939198794814374","0.0351832628283862",
"pTRIP JAK1 S703I 3","RSAD2","3","-","0","27.873601311645075","0.11947710635511077","0.06898013951612075",
"pTRIP JAK1 WT 1","B-ACTIN","12","-","0","12.412272409635365","0.41233252742227045","0.11903014785144331",
"pTRIP JAK1 WT 1","IFI27","3","-","0","30.186265890747876","0.20565041639026413","0.11873232326187763",
"pTRIP JAK1 WT 1","JAK1","3","-","0","17.17922329570605","0.15227444027848963","0.08791568908548558",
"pTRIP JAK1 WT 1","MX1","3","-","0","28.022706261614037","0.06619518621415243","0.03821780857979831",
"pTRIP JAK1 WT 1","RSAD2","3","-","0","34.77781428527339","0.5958953165324737","0.344040321408861",
"pTRIP JAK1 WT 2","B-ACTIN","12","-","0","12.584105510624084","0.48449508182360557","0.13986168295595422",
"pTRIP JAK1 WT 2","IFI27","3","-","0","30.756179171868524","0.0714041655079297","0.04122521417726381",
"pTRIP JAK1 WT 2","JAK1","3","-","0","17.22447571742053","0.10779982486823944","0.062238257906272555",
"pTRIP JAK1 WT 2","MX1","3","-","0","28.406239343763517","0.029129703157907198","0.016818041959631613",
"pTRIP JAK1 WT 2","RSAD2","3","-","0","36.44667187114409","1.3454170888242816","0.7767769184050216",
"pTRIP JAK1 WT 3","B-ACTIN","12","-","0","12.600750853992606","0.45763890668065654","0.13210897298186156",
"pTRIP JAK1 WT 3","IFI27","3","-","0","30.220467325036594","0.05339347844768475","0.030826739154741274",
"pTRIP JAK1 WT 3","JAK1","3","-","0","17.435950562842148","0.061798996686990224","0.0356796673728826",
"pTRIP JAK1 WT 3","MX1","3","-","0","28.322290475518333","0.12740687119123364","0.07355839137886673",
"pTRIP JAK1 WT 3","RSAD2","3","-","0","34.06108638157422","0.1323383344511546","0.07640557301948082",
"pTRIP Luciferase 1","B-ACTIN","12","-","0","12.673759675026664","0.5286039584560739","0.152594818854658",
"pTRIP Luciferase 1","IFI27","3","-","0","30.08898279508111","0.18945812600600262","0.10938370004972765",
"pTRIP Luciferase 1","JAK1","3","-","0","26.173056378058458","0.06822361625978332","0.03938892321267563",
"pTRIP Luciferase 1","MX1","3","-","0","28.332919047924307","0.051761831271060744","0.02988470721809491",
"pTRIP Luciferase 1","RSAD2","3","-","0","32.21190112037959","1.0476820949173131","0.6048795395256619",
"pTRIP Luciferase 2","B-ACTIN","12","-","0","12.014289815690715","1.3222783658159822","0.3817088852237379",
"pTRIP Luciferase 2","IFI27","3","-","0","30.23546078358291","0.18177681961532","0.10494889573733905",
"pTRIP Luciferase 2","JAK1","3","-","0","26.187403539304867","0.09187755076720584","0.0530455286679298",
"pTRIP Luciferase 2","MX1","3","-","0","28.282112706341405","0.08270820022243683","0.04775160166261337",
"pTRIP Luciferase 2","RSAD2","3","-","0","33.56580588634438","0.9691017451264593","0.5595111534208974",
"pTRIP Luciferase 3","B-ACTIN","12","-","0","12.38878275303341","0.6004692531840167","0.17334054248294278",
"pTRIP Luciferase 3","IFI27","3","-","0","30.432890211655103","0.14616372593152263","0.08438766651232328",
"pTRIP Luciferase 3","JAK1","3","-","0","26.078472095715217","0.1734186935350532","0.10012332939497619",
"pTRIP Luciferase 3","MX1","3","-","0","27.78034529920414","0.6275845462150508","0.36233610669650873",
"pTRIP Luciferase 3","RSAD2","3","-","0","36.1982136692166","1.4574412909139935","0.8414541216372698",
