# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 H129R","JAK1","20.152975175299936","","20.152975175299936","1.6470520648103506","0.5490173549367835","3.0835538243414042","0.11796625860318363","0.027438147756010375","0.5071784834960247","FALSE"
"pTRIP JAK1 H129R","RSAD2","32.62369503428762","","32.62369503428762","2.0641878200760106","0.7298006026092121","1.159784204063353","0.44757947865493697","0.05829852107301421","3.436234505196646","FALSE"
"pTRIP JAK1 I952V","GAPDH","14.833472497745152","","14.833472497745152","1.2335528263720223","0.23739735212183694","-0.2121553269299028","1.1584175198353885","0.699346443903273","1.9188360246344167","FALSE"
"pTRIP JAK1 I952V","IFI27","30.81444523734977","","30.81444523734977","1.883854196069788","0.6279513986899293","1.2807222543007164","0.4115894036480602","0.07762376802949963","2.1823964681923957","FALSE"
"pTRIP JAK1 I952V","JAK1","19.33826381412272","","19.33826381412272","1.1314308029328062","0.3771436009776021","2.2688424631641873","0.20749630297108296","0.07619011478588356","0.5650958246704805","FALSE"
"pTRIP JAK1 I952V","RSAD2","35.34240602474879","","35.34240602474879","1.5667146998957793","0.5539172942404761","3.878495194524522","0.06799181090674918","0.014473776991870956","0.3193973731235137","FALSE"
"pTRIP JAK1 M1085I","GAPDH","14.425363174575141","","14.425363174575141","0.6198512836046212","0.1192904351488877","-0.620264650099914","1.5371571337914818","1.1928492479473758","1.9808471674287245","FALSE"
"pTRIP JAK1 M1085I","IFI27","29.665978833218485","","29.665978833218485","0.8286026822823467","0.2762008940941156","0.13225585016943242","0.9124036668648701","0.43805959658768795","1.900381723841131","FALSE"
"pTRIP JAK1 M1085I","JAK1","18.951529008085636","","18.951529008085636","1.0616423600344052","0.35388078667813505","1.8821076571271043","0.27128709816575197","0.10596337574154432","0.6945483674539052","FALSE"
"pTRIP JAK1 M1085I","RSAD2","33.640312138265735","","33.640312138265735","0.7302485778602832","0.2434161926200944","2.1764013080414664","0.22122689488713823","0.1158798466306352","0.42234556261887785","FALSE"
"pTRIP JAK1 S703I","GAPDH","14.975639313786099","","14.975639313786099","1.3424149770698002","0.2583478827918115","-0.06998851088895641","1.0497083240854113","0.6061131440273173","1.817956888927888","FALSE"
"pTRIP JAK1 S703I","IFI27","25.544649173773507","","25.544649173773507","1.8654119865763497","0.6218039955254498","-3.9890738092755456","15.879282369254568","3.0440633387130345","82.83389026626608","FALSE"
"pTRIP JAK1 S703I","JAK1","19.391717106183133","","19.391717106183133","1.4770622254056975","0.4923540751352325","2.3222957552246015","0.19994903794869764","0.05406160117718091","0.7395196758153899","FALSE"
"pTRIP JAK1 S703I","RSAD2","28.41391145525597","","28.41391145525597","1.50280289718641","0.5009342990621367","-3.049999374968298","8.282115802594989","2.188829096735173","31.337961593212846","FALSE"
"pTRIP JAK1 WT","GAPDH","15.349299502235501","","15.349299502235501","1.5422239926363754","0.2968011457664369","0.30367167756044644","0.8101878317758541","0.4310915481069552","1.5226564418627935","FALSE"
"pTRIP JAK1 WT","IFI27","30.55557308488709","","30.55557308488709","1.5499698521151377","0.5166566173717125","1.0218501018380373","0.49248438865051786","0.12483148468267243","1.9429463142333423","FALSE"
"pTRIP JAK1 WT","JAK1","16.158201819982118","","16.158201819982118","1.8257702005864154","0.6085900668621385","-0.911219530976414","1.8806345542862326","0.37339816114867397","9.471890048668861","FALSE"
