# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 M1085I 2","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 2","JAK1","33.86010817539845","","33.86010817539845","1.9720603330400082","1.1385695641388318","15.98997715428435","1.5365165645913418E-5","2.2782773377396098E-10","1.0362580157189873","FALSE"
"pTRIP JAK1 M1085I 2","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 3","GAPDH","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 3","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 3","JAK1","33.72123934905445","","33.72123934905445","2.0746901458305875","1.1978229141803538","15.851108327940349","1.691768478372093E-5","1.4063824331687986E-10","2.0350656527788917","FALSE"
"pTRIP JAK1 M1085I 3","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 S703I 1","GAPDH","16.089211665761056","","16.089211665761056","0.44407002698480647","0.14802334232826883","-0.5133628492660094","1.4273734563422746","0.9633023723792348","2.115010865008444","FALSE"
"pTRIP JAK1 S703I 1","IFI27","31.920211155068426","","31.920211155068426","0.6798283007763865","0.3924990524559726","1.133794442425227","0.455715566800481","0.009863175035836681","21.055763186774538","FALSE"
"pTRIP JAK1 S703I 1","JAK1","20.05998623267616","","20.05998623267616","0.7286860558064309","0.42070709047456956","2.189855211562058","0.21917342540396248","0.003601422817954643","13.338336771739554","FALSE"
"pTRIP JAK1 S703I 1","RSAD2","35.35626622089208","","35.35626622089208","0.6586632708064792","0.3802794167054402","3.0538963257644554","0.12041638974448732","0.0029365318366448416","4.937834059263421","FALSE"
"pTRIP JAK1 S703I 3","GAPDH","16.22928103865555","","16.22928103865555","0.12475225362625701","0.04158408454208567","-0.373293476371515","1.295306466301745","1.159836700746304","1.4465991984591546","FALSE"
"pTRIP JAK1 S703I 3","IFI27","26.093936839811672","","26.093936839811672","0.07790638808517453","0.04497927413256697","-4.692479872831527","25.85694405466827","16.665177207345895","40.11847864129153","FALSE"
"pTRIP JAK1 S703I 3","JAK1","19.87550511247005","","19.87550511247005","0.1462196553771452","0.0844199573928091","2.00537409135595","0.24907047326736945","0.10921395666238752","0.5680235617266687","FALSE"
"pTRIP JAK1 S703I 3","RSAD2","29.179340091309854","","29.179340091309854","0.0433983303367967","0.025056037702329878","-3.123029803817772","8.712156100316443","6.821145818780395","11.127406733822331","FALSE"
"pTRIP JAK1 S703I  2","GAPDH","16.69783175029726","","16.69783175029726","0.3661304913805406","0.12204349712684687","0.09525723527019636","0.9361053231936224","0.6768972597251139","1.294573383953861","FALSE"
"pTRIP JAK1 S703I  2","IFI27","26.96439248560118","","26.96439248560118","0.29681767465918274","0.17136776436471793","-3.822024227042018","14.143077998402076","2.652983482572512","75.3968717042013","FALSE"
"pTRIP JAK1 S703I  2","JAK1","21.326369150809775","","21.326369150809775","0.2933381791758356","0.16935887671076336","3.4562381296956737","0.09111054632580971","0.01742927838487442","0.4762751198575985","FALSE"
