gene_id,logFC,pvalue,fdr,significant,comparison
RXYLT1,-0.01723898823308466,0.7448539884100562,0.9484879044507332,FALSE,WT_vs_severe
ZNF430,-0.19277792813333106,0.28726727804227237,0.7955879549124988,FALSE,WT_vs_severe
VAMP8,0.12405502213735677,0.06465802684906083,0.5656513116956243,FALSE,WT_vs_severe
MYL12B,0.07296999166392108,0.10833356225080543,0.6346929347982884,FALSE,WT_vs_severe
FOXO3,-0.05075725769025344,0.27829174040107235,0.7913114283636892,FALSE,WT_vs_severe
RPN2,0.060332520725433554,0.17421293003827626,0.7117910592168588,FALSE,WT_vs_severe
TGIF2,0.11971823829758392,0.09306755920288762,0.6062236098302035,FALSE,WT_vs_severe
PKD2,0.0449928351643754,0.600062185900847,0.91440965600061,FALSE,WT_vs_severe
SPP1,0.07860649168392882,0.3415284393998267,0.8264545946544977,FALSE,WT_vs_severe
STBD1,0.010630977008147531,0.9254478805252515,0.9872500489079978,FALSE,WT_vs_severe
CCNI,6.882966835774566e-4,0.9880399205088171,0.9966034337418769,FALSE,WT_vs_severe
MFSD1,0.12797006270697175,0.0652778956038436,0.5670154032478232,FALSE,WT_vs_severe
RAB3GAP2,-0.07818531133359284,0.3235503807665172,0.8120333690633325,FALSE,WT_vs_severe
EEF2KMT,0.0705404849328164,0.28863023060865506,0.7966683760572144,FALSE,WT_vs_severe
PPL,0.3042826413291243,0.21745391322348748,0.7451197269239209,FALSE,WT_vs_severe
UBN1,-0.08523934127782455,0.11438725638149953,0.6475109455864947,FALSE,WT_vs_severe
KLF12,0.05901321863227397,0.5368056834781242,0.8918591189124434,FALSE,WT_vs_severe
UCHL3,0.1588517332531747,0.03881643021810441,0.5040235493792732,FALSE,WT_vs_severe
PCDH17,0.07252419212512523,0.5752549997007257,0.9082894013969428,FALSE,WT_vs_severe
HS1BP3,0.07022734796362828,0.2999058078232967,0.8028823088093511,FALSE,WT_vs_severe
LDAH,0.035682230539281545,0.6365893087189458,0.9250787362813225,FALSE,WT_vs_severe
WDR35,-0.19608830662327179,0.1441453210581594,0.6854210316240669,FALSE,WT_vs_severe
