"gene_id","hgnc_symbol","logFC","pvalue","fdr","significant","experiment","comparison"
"14694","FAM83H",1.67618068232105,0.407663014165165,0.748253069895879,FALSE,"Exp21","WT_vs_mild"
"14699","PITPNB",-0.00829744986862318,0.922941875386173,0.979348043367761,FALSE,"Exp21","WT_vs_mild"
"14700","TCEAL8",0.145580834745566,0.143776671152742,0.573565825809705,FALSE,"Exp21","WT_vs_mild"
"14702","LRRC57",0.020198718315143,0.897412015759842,0.969831040707749,FALSE,"Exp21","WT_vs_mild"
"14704","MRPL14",0.0365532074495831,0.624559115843305,0.863264814518843,FALSE,"Exp21","WT_vs_mild"
"14705","GPR137C",0.296518736740687,0.335476987632881,0.703412403245707,FALSE,"Exp21","WT_vs_mild"
"14707","BBS12",0.25949339269012,0.305168543356597,0.685667441876168,FALSE,"Exp21","WT_vs_mild"
"14708","ZFP82",0.0536149697501393,0.821084849282229,0.943805624045192,FALSE,"Exp21","WT_vs_mild"
"14711","NQO1",-0.140771839850961,0.10765325835566,0.541358512588878,FALSE,"Exp21","WT_vs_mild"
"14713","AEN",-0.0978724871109204,0.196033380665617,0.609483390612855,FALSE,"Exp21","WT_vs_mild"
"14714","FKRP",0.126845329988739,0.224612317578841,0.635922989092178,FALSE,"Exp21","WT_vs_mild"
"14715","TRAPPC5",-0.0511415179233274,0.654924444418072,0.876711232048663,FALSE,"Exp21","WT_vs_mild"
"14716","RPH3AL",0.217449189144166,0.235720874542872,0.641277253587458,FALSE,"Exp21","WT_vs_mild"
"14717","SLC25A42",0.151011962002949,0.539939351990616,0.820513060283889,FALSE,"Exp21","WT_vs_mild"
"14719","METTL23",-0.0108681999099732,0.866583225580867,0.958855074685506,FALSE,"Exp21","WT_vs_mild"
"14720","SLC26A11",-0.308198737586304,0.125326416752814,0.554665020073304,FALSE,"Exp21","WT_vs_mild"
"14721","HIGD1A",0.213607631612423,0.103116192858932,0.53732747294116,FALSE,"Exp21","WT_vs_mild"
"14725","EHMT1",-0.0738605366238331,0.349960020258125,0.714680990824269,FALSE,"Exp21","WT_vs_mild"
"14728","F2R",0.265376751170474,0.0757810861498442,0.510854681156472,FALSE,"Exp21","WT_vs_mild"
"14731","ZNF707",-0.186224140601483,0.0561564161977056,0.485998723035026,FALSE,"Exp21","WT_vs_mild"
"14733","NPM1",-0.0576491365455354,0.449352305700722,0.774597011140306,FALSE,"Exp21","WT_vs_mild"
"14734","PJA1",-0.128914840165471,0.232990030868021,0.63943335671208,FALSE,"Exp21","WT_vs_mild"
"14735","DHTKD1",-0.0389956025646342,0.846255653999628,0.952316621165949,FALSE,"Exp21","WT_vs_mild"
"14740","H2AC25",0.0167681895715234,0.921862395947635,0.979208136416314,FALSE,"Exp21","WT_vs_mild"
"14741","ZNF746",0.363011082798423,0.110914989612243,0.545183872080896,FALSE,"Exp21","WT_vs_mild"
"14742","POLR2A",-0.2388212351293,0.334240346423096,0.702279147181668,FALSE,"Exp21","WT_vs_mild"
"14747","TLCD5",0.0746944679227657,0.550609501704975,0.824736677642422,FALSE,"Exp21","WT_vs_mild"
"14749","FRAT2",0.112345315684472,0.276218646886598,0.667198302992693,FALSE,"Exp21","WT_vs_mild"
"14754","ZNF322",0.156819277729826,0.164419733428887,0.590788727917268,FALSE,"Exp21","WT_vs_mild"
"14759","LRRC75A",0.0328194327688934,0.613096143749111,0.856544016716777,FALSE,"Exp21","WT_vs_mild"
"14766","DDX60L",0.508427594595049,0.00469293616237486,0.461668048581508,FALSE,"Exp21","WT_vs_mild"
"14768","OGFOD3",-0.171390335653734,0.0626119936993797,0.495661588591801,FALSE,"Exp21","WT_vs_mild"
"14769","WASHC1",-0.199956488947117,0.0563150144586966,0.485998723035026,FALSE,"Exp21","WT_vs_mild"
"14771","AATK",-0.0870419410115336,0.803877058798032,0.936818171238756,FALSE,"Exp21","WT_vs_mild"
"14773","SAGE1",0.0609443800813762,0.542845733146094,0.821866631015226,FALSE,"Exp21","WT_vs_mild"
"14774","ZNF467",0.0950984160887323,0.326048960259253,0.697971949702975,FALSE,"Exp21","WT_vs_mild"
"14776","ZNF678",0.00135892939198979,0.991960062067573,0.997447507910882,FALSE,"Exp21","WT_vs_mild"
"14777","TMEM45A",0.352819646270023,0.193015303217569,0.607391821858587,FALSE,"Exp21","WT_vs_mild"
"14778","RAP2B",0.0589710024729898,0.408434846982494,0.748848879058088,FALSE,"Exp21","WT_vs_mild"
"14779","ZBTB2",-0.10141885511982,0.28661306053518,0.672524353751852,FALSE,"Exp21","WT_vs_mild"
"14780","RNF135",0.0809469947902559,0.47617174891581,0.787299591495116,FALSE,"Exp21","WT_vs_mild"
"14783","ACBD4",-0.130644691040641,0.183357392610616,0.602636073875649,FALSE,"Exp21","WT_vs_mild"
"14785","SGSH",-0.147631717579954,0.40209609923376,0.745964728930296,FALSE,"Exp21","WT_vs_mild"
"14790","SETD2",0.156615838812022,0.23794420636293,0.643067743252946,FALSE,"Exp21","WT_vs_mild"
"14792","MEX3D",0.170534399445735,0.152522363886825,0.578643728768418,FALSE,"Exp21","WT_vs_mild"
"14794","MRPS23",-0.0747428653585934,0.408989448290987,0.749422352356744,FALSE,"Exp21","WT_vs_mild"
"14797","GPR135",-0.0637058070765302,0.686748387856655,0.893268863143008,FALSE,"Exp21","WT_vs_mild"
"14798","SLX1B",0.22893082986364,0.614892622308275,0.857041570103677,FALSE,"Exp21","WT_vs_mild"
"14801","TNFSF15",0.123413033841516,0.345618303553112,0.71118699275631,FALSE,"Exp21","WT_vs_mild"
"14802","ZFP41",-0.109064657016653,0.28027255773804,0.669903430509768,FALSE,"Exp21","WT_vs_mild"
