"gene_id","hgnc_symbol","logFC","pvalue","coefficients.1","coefficients.2","fdr","significant","experiment","comparison"
"2506","MAPRE1",-5.411769e-02,4.217794e-01, 7.690809e+00,-5.411769e-02,7.826314e-01,FALSE,"25","WT_vs_mild"
"2507","JAG1", 1.189884e-01,2.019837e-01, 6.451007e+00, 1.189884e-01,6.231147e-01,FALSE,"25","WT_vs_mild"
"2508","CDK5RAP1", 5.043448e-02,6.362998e-01, 5.266531e+00, 5.043448e-02,8.747805e-01,FALSE,"25","WT_vs_mild"
"2509","SNTA1", 1.206825e-01,2.311499e-01, 5.041165e+00, 1.206825e-01,6.487495e-01,FALSE,"25","WT_vs_mild"
"2511","TTI1", 1.764376e-01,5.125150e-02, 5.570829e+00, 1.764376e-01,4.824217e-01,FALSE,"25","WT_vs_mild"
"2512","E2F1", 2.606912e-01,2.928022e-02, 4.591365e+00, 2.606912e-01,4.526411e-01,FALSE,"25","WT_vs_mild"
"2513","RPRD1B", 2.937018e-02,7.894682e-01, 5.451501e+00, 2.937018e-02,9.319169e-01,FALSE,"25","WT_vs_mild"
"2514","PXMP4", 1.451852e-01,5.158696e-01, 2.659312e+00, 1.451852e-01,8.261653e-01,FALSE,"25","WT_vs_mild"
"2515","CHMP4B", 1.232285e-01,7.977918e-02, 6.663315e+00, 1.232285e-01,5.097122e-01,FALSE,"25","WT_vs_mild"
"2519","CST3", 7.516167e-02,2.043906e-01, 6.731991e+00, 7.516167e-02,6.259428e-01,FALSE,"25","WT_vs_mild"
"2522","ACTR5", 3.029812e-01,1.054549e-02, 3.019778e+00, 3.029812e-01,4.130123e-01,FALSE,"25","WT_vs_mild"
"2524","AHCY", 3.559846e-02,5.679420e-01, 8.709496e+00, 3.559846e-02,8.503841e-01,FALSE,"25","WT_vs_mild"
"2525","PPP1R16B", 3.063108e-01,2.366933e-01, 1.700488e+00, 3.063108e-01,6.544775e-01,FALSE,"25","WT_vs_mild"
"2527","FAM83D", 2.536869e-02,7.000503e-01, 5.911776e+00, 2.536869e-02,9.009139e-01,FALSE,"25","WT_vs_mild"
"2529","DHX35",-1.869961e-01,4.519869e-02, 3.856303e+00,-1.869961e-01,4.688675e-01,FALSE,"25","WT_vs_mild"
"2530","DNTTIP1", 2.097776e-01,8.826531e-02, 5.931254e+00, 2.097776e-01,5.172369e-01,FALSE,"25","WT_vs_mild"
"2533","PIGU",-3.222223e-02,7.297896e-01, 5.125085e+00,-3.222223e-02,9.117807e-01,FALSE,"25","WT_vs_mild"
"2535","ACOT8", 1.228393e-01,1.988437e-01, 4.342485e+00, 1.228393e-01,6.220069e-01,FALSE,"25","WT_vs_mild"
"2536","APMAP", 7.122888e-02,2.789211e-01, 8.025018e+00, 7.122888e-02,6.926094e-01,FALSE,"25","WT_vs_mild"
"2538","ZNF516", 7.396514e-02,7.072397e-01, 3.671228e+00, 7.396514e-02,9.037195e-01,FALSE,"25","WT_vs_mild"
"2540","ADNP2", 8.202368e-02,5.936935e-01, 5.947743e+00, 8.202368e-02,8.597331e-01,FALSE,"25","WT_vs_mild"
"2541","RBFA", 3.341988e-02,7.226319e-01, 4.713226e+00, 3.341988e-02,9.092111e-01,FALSE,"25","WT_vs_mild"
"2542","USP14",-5.568416e-02,3.569304e-01, 6.595777e+00,-5.568416e-02,7.515884e-01,FALSE,"25","WT_vs_mild"
"2543","VAPA",-3.127955e-02,6.372858e-01, 7.337079e+00,-3.127955e-02,8.753073e-01,FALSE,"25","WT_vs_mild"
"2544","METTL4",-3.949120e-01,1.670440e-01, 3.519760e+00,-3.949120e-01,5.898079e-01,FALSE,"25","WT_vs_mild"
"2545","LPIN2",-1.107428e+00,9.072396e-03, 3.533597e+00,-1.107428e+00,4.130123e-01,FALSE,"25","WT_vs_mild"
"2546","SMCHD1",-1.152303e-01,2.572511e-01, 5.868379e+00,-1.152303e-01,6.734219e-01,FALSE,"25","WT_vs_mild"
"2548","MYL12A",-4.515862e-02,5.513257e-01, 8.380639e+00,-4.515862e-02,8.436729e-01,FALSE,"25","WT_vs_mild"
"2549","CEP76", 1.760302e-02,9.469955e-01, 3.317496e+00, 1.760302e-02,9.864757e-01,FALSE,"25","WT_vs_mild"
